institute_name,branch_name,category,quota,seat_pool,round_6_closing_rank,cr_2023,cr_2024,cr_2025,avg_closing_rank,std_closing_rank,yoy_rank_change_pct,demand_trend,institute_type,institute_state,nirf_rank,institute_tier,institute_tier_encoded,branch_code,department,core_or_emerging,is_nit,is_iiit,is_gfti,is_home_state_quota,is_female_pool,is_cse_branch,is_core_branch,category_encoded,tightening_ratio_2023,tightening_ratio_2024,tightening_ratio_2025
ABV-IIITM Gwalior,Computer Science and Engineering,EWS,AI,Female-Only,11925,11925,11925,11925,11925.0,0.0,0.0,stable,IIIT,Madhya Pradesh,60.0,Tier 2,2,CSE,Computer Science,Core,0,1,0,0,1,1,1,1,0.620293501048218,0.620293501048218,0.620293501048218
ABV-IIITM Gwalior,Computer Science and Engineering,EWS,AI,Gender-Neutral,7750,7750,7750,7750,7750.0,0.0,0.0,stable,IIIT,Madhya Pradesh,60.0,Tier 2,2,CSE,Computer Science,Core,0,1,0,0,0,1,1,1,0.704516129032258,0.704516129032258,0.704516129032258
ABV-IIITM Gwalior,Computer Science and Engineering,OBC-NCL,AI,Female-Only,16641,16641,16641,16641,16641.0,0.0,0.0,stable,IIIT,Madhya Pradesh,60.0,Tier 2,2,CSE,Computer Science,Core,0,1,0,0,1,1,1,2,0.6403461330448891,0.6403461330448891,0.6403461330448891
ABV-IIITM Gwalior,Computer Science and Engineering,OBC-NCL,AI,Gender-Neutral,10815,10815,10815,10815,10815.0,0.0,0.0,stable,IIIT,Madhya Pradesh,60.0,Tier 2,2,CSE,Computer Science,Core,0,1,0,0,0,1,1,2,0.719001386962552,0.719001386962552,0.719001386962552
ABV-IIITM Gwalior,Computer Science and Engineering,OPEN,AI,Female-Only,6227,6227,6227,6227,6227.0,0.0,0.0,stable,IIIT,Madhya Pradesh,60.0,Tier 2,2,CSE,Computer Science,Core,0,1,0,0,1,1,1,0,0.7107756544082222,0.7107756544082222,0.7107756544082222
ABV-IIITM Gwalior,Computer Science and Engineering,OPEN,AI,Gender-Neutral,4637,4637,4637,4637,4637.0,0.0,0.0,stable,IIIT,Madhya Pradesh,60.0,Tier 2,2,CSE,Computer Science,Core,0,1,0,0,0,1,1,0,0.6624973042915678,0.6624973042915678,0.6624973042915678
ABV-IIITM Gwalior,Computer Science and Engineering,SC,AI,Female-Only,32919,32919,32919,32919,32919.0,0.0,0.0,stable,IIIT,Madhya Pradesh,60.0,Tier 2,2,CSE,Computer Science,Core,0,1,0,0,1,1,1,3,0.6673653513168687,0.6673653513168687,0.6673653513168687
ABV-IIITM Gwalior,Computer Science and Engineering,SC,AI,Gender-Neutral,22046,22046,22046,22046,22046.0,0.0,0.0,stable,IIIT,Madhya Pradesh,60.0,Tier 2,2,CSE,Computer Science,Core,0,1,0,0,0,1,1,3,0.6503674135897668,0.6503674135897668,0.6503674135897668
ABV-IIITM Gwalior,Computer Science and Engineering,ST,AI,Gender-Neutral,33011,33011,33011,33011,33011.0,0.0,0.0,stable,IIIT,Madhya Pradesh,60.0,Tier 2,2,CSE,Computer Science,Core,0,1,0,0,0,1,1,4,0.6758656205507255,0.6758656205507255,0.6758656205507255
ABV-IIITM Gwalior,Data Science and Artificial Intelligence,EWS,AI,Female-Only,11425,11425,11425,11425,11425.0,0.0,0.0,stable,IIIT,Madhya Pradesh,60.0,Tier 2,2,DSAI,Computer Science,Emerging,0,1,0,0,1,1,0,1,0.76,0.76,0.76
ABV-IIITM Gwalior,Data Science and Artificial Intelligence,EWS,AI,Gender-Neutral,7721,7721,7721,7721,7721.0,0.0,0.0,stable,IIIT,Madhya Pradesh,60.0,Tier 2,2,DSAI,Computer Science,Emerging,0,1,0,0,0,1,0,1,0.7632431032249709,0.7632431032249709,0.7632431032249709
ABV-IIITM Gwalior,Data Science and Artificial Intelligence,OBC-NCL,AI,Female-Only,17575,17575,17575,17575,17575.0,0.0,0.0,stable,IIIT,Madhya Pradesh,60.0,Tier 2,2,DSAI,Computer Science,Emerging,0,1,0,0,1,1,0,2,0.6463726884779516,0.6463726884779516,0.6463726884779516
