counselling_body,institute_type,college_name,branch_name,college_id,branch_id,category,quota,seat_pool,year,round_number,opening_rank,closing_rank
JoSAA,IIIT,NIT Warangal,Mechanical,4,4,EWS,OS,Female-Only,2023,3,29390,31248
CSAB,GFTI,NIT Trichy,Computer Science,2,2,OPEN,HS,Gender-Neutral,2023,4,16116,20524
JoSAA,NIT,NIT Trichy,Civil,5,3,SC,AI,Gender-Neutral,2023,3,32212,35665
JoSAA,NIT,NIT Trichy,Electrical,3,1,SC,HS,Gender-Neutral,2023,5,28613,32849
JoSAA,NIT,NIT Surathkal,Civil,9,1,ST,HS,Gender-Neutral,2022,5,3056,7851
CSAB,NIT,NIT Warangal,Electrical,4,4,EWS,AI,Gender-Neutral,2021,5,8177,11615
JoSAA,NIT,NIT Trichy,Mechanical,6,3,OBC-NCL,OS,Gender-Neutral,2023,2,36590,39278
JoSAA,NIT,NIT Warangal,Computer Science,2,2,OPEN,HS,Female-Only,2023,3,44927,46809
JoSAA,NIT,NIT Surathkal,Electrical,6,4,OPEN,AI,Female-Only,2021,2,37955,41575
CSAB,IIIT,NIT Trichy,Electrical,3,3,EWS,OS,Female-Only,2021,4,43206,45085
JoSAA,GFTI,IIIT Hyderabad,Electrical,9,3,ST,AI,Female-Only,2021,2,35038,38270
JoSAA,NIT,NIT Surathkal,Electrical,2,2,ST,HS,Female-Only,2021,4,36259,39932
JoSAA,IIIT,IIIT Hyderabad,Computer Science,9,4,EWS,OS,Female-Only,2021,4,39810,43128
JoSAA,IIIT,NIT Warangal,Computer Science,5,3,ST,OS,Gender-Neutral,2021,4,18100,21957
CSAB,GFTI,NIT Warangal,Mechanical,8,3,OPEN,AI,Female-Only,2022,6,13906,18022
JoSAA,NIT,NIT Surathkal,Computer Science,2,3,OPEN,AI,Gender-Neutral,2021,2,47660,50597
CSAB,GFTI,NIT Warangal,Electrical,6,2,OBC-NCL,AI,Gender-Neutral,2021,6,12909,15390
CSAB,NIT,IIIT Hyderabad,Mechanical,3,4,EWS,OS,Female-Only,2022,3,14955,19294
